WikiPageName,Party,State,Sex,Age
Paul_Mitchell_(politician),Republican,Michigan,Male,63
Stephanie_Murphy,Democratic,Florida,Female,41
Tom_O'Halleran,Democratic,Arizona,Male,73
Jimmy_Panetta,Democratic,California,Male,50
Jamie_Raskin,Democratic,Maryland,Male,56
Francis_Rooney,Republican,Florida,Male,66
Jacky_Rosen,Democratic,Nevada,Female,62
John_Rutherford_(Florida_politician),Republican,Florida,Male,67
Lloyd_Smucker,Republican,Pennsylvania,Male,55
Darren_Soto,Democratic,Florida,Male,41
Thomas_Suozzi,Democratic,New York,Male,57
Scott_Taylor_(politician),Republican,Virginia,Male,40
Claudia_Tenney,Republican,New York,Female,58
Ron_Estes,Republican,Kansas,Male,63
Greg_Gianforte,Republican,Montana,Male,58
Jimmy_Gomez,Democratic,California,Male,45
Karen_Handel,Republican,Georgia,Female,57
Ralph_Norman,Republican,South Carolina,Male,66
John_Curtis_(American_politician),Republican,Utah,Male,59
Conor_Lamb,Democratic,Pennsylvania,Male,35
Debbie_Lesko,Republican,Arizona,Female,61
Michael_Cloud,Republican,Texas,Male,44
Troy_Balderson,Republican,Ohio,Male,57
