Retweeter,Retweeted
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Dwight_Evans_(politician),Dwight_Evans_(politician)
Carlos_Curbelo,Ileana_Ros-Lehtinen
Carlos_Curbelo,Ileana_Ros-Lehtinen
Carlos_Curbelo,Ileana_Ros-Lehtinen
Carlos_Curbelo,Brian_Higgins
Carlos_Curbelo,Ileana_Ros-Lehtinen
Carlos_Curbelo,Steve_Scalise
Carlos_Curbelo,Ileana_Ros-Lehtinen
Carlos_Curbelo,Ileana_Ros-Lehtinen
Carlos_Curbelo,Josh_Gottheimer
Carlos_Curbelo,Josh_Gottheimer
Carlos_Curbelo,Joe_Wilson_(American_politician)
Carlos_Curbelo,Ileana_Ros-Lehtinen
Carlos_Curbelo,Pete_Olson
Carlos_Curbelo,Ileana_Ros-Lehtinen
Pramila_Jayapal,Elijah_Cummings
Pramila_Jayapal,Ro_Khanna
Pramila_Jayapal,Mark_Pocan
Pramila_Jayapal,Hakeem_Jeffries
Pramila_Jayapal,Joaquín_Castro
Pramila_Jayapal,Raúl_Grijalva
Pramila_Jayapal,Lloyd_Doggett
Pramila_Jayapal,Lucille_Roybal-Allard
Pramila_Jayapal,Jackie_Speier
Pramila_Jayapal,Ro_Khanna
Pramila_Jayapal,Nanette_Barragán
Pramila_Jayapal,Adam_Smith_(politician)
Karen_Bass,Karen_Bass
Karen_Bass,Karen_Bass
Karen_Bass,Yvette_Clarke
Karen_Bass,Terri_Sewell
Karen_Bass,Sheila_Jackson_Lee
Karen_Bass,Mia_Love
Tom_Graves,Kevin_McCarthy_(U.S._Representative)
Tom_Graves,Jim_Banks
Tom_Graves,Steve_Scalise
Tom_Graves,Steve_Scalise
Tom_Graves,Paul_Ryan
Tom_Graves,Paul_Ryan
Bradley_Byrne,Paul_Gosar
Bradley_Byrne,Martha_Roby
Bradley_Byrne,Alma_Adams
Bradley_Byrne,Alma_Adams
Bradley_Byrne,Steve_Scalise
Rosa_DeLauro,John_B._Larson
Rosa_DeLauro,Jan_Schakowsky
Rosa_DeLauro,Mark_Pocan
Rosa_DeLauro,Lucille_Roybal-Allard
Rosa_DeLauro,Brenda_Lawrence
Rosa_DeLauro,Ann_McLane_Kuster
Rosa_DeLauro,Mark_Pocan
Rosa_DeLauro,Lloyd_Doggett
Rosa_DeLauro,Nanette_Barragán
Rosa_DeLauro,Suzan_DelBene
Rosa_DeLauro,Adam_Schiff
George_Holding,Steve_Scalise
George_Holding,George_Holding
George_Holding,George_Holding
George_Holding,Richard_Hudson_(American_politician)
George_Holding,Patrick_McHenry
George_Holding,Richard_Hudson_(American_politician)
George_Holding,Kevin_Brady
George_Holding,Paul_Ryan
Barbara_Comstock,Paul_Ryan
Barbara_Comstock,Paul_Ryan
Barbara_Comstock,Paul_Ryan
Barbara_Comstock,Paul_Ryan
Barbara_Comstock,Paul_Ryan
Adam_Schiff,Joe_Kennedy_III
Kevin_Brady,Paul_Ryan
Kevin_Brady,Steve_Scalise
Kevin_Brady,Paul_Ryan
Kevin_Brady,Paul_Ryan
Kevin_Brady,Paul_Ryan
Hakeem_Jeffries,Gwen_Moore
Hakeem_Jeffries,Mark_Pocan
Hakeem_Jeffries,Nancy_Pelosi
Salud_Carbajal,Eric_Swalwell
Earl_Blumenauer,Joe_Kennedy_III
Earl_Blumenauer,John_Lewis_(civil_rights_leader)
Earl_Blumenauer,Dina_Titus
Mimi_Walters,Mimi_Walters
Bill_Shuster,Sam_Graves
Bill_Shuster,Paul_Ryan
Bill_Shuster,Steve_Scalise
Bill_Shuster,Paul_Ryan
Bill_Shuster,Lloyd_Smucker
